amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-8480862-3995018	503-8480862-3995018	2025-10-31T23:03:48+09:00	2025-11-01T09:25:17+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								兵庫県	659-0003	JP	
503-1406595-0203863	503-1406595-0203863	2025-10-31T21:26:25+09:00	2025-11-01T02:05:55+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								東京都	153-0063	JP	
249-5846586-7889405	249-5846586-7889405	2025-10-31T19:49:52+09:00	2025-11-01T00:16:39+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								大阪府	540-0029	JP	
503-7487148-3622241	503-7487148-3622241	2025-10-31T16:45:05+09:00	2025-11-01T00:57:50+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER 鼻毛カッター メンズ 3in1 多機能 1台3役 鼻毛トリマー ヒゲトリマー 髭トリマー 眉毛シェーバー まゆげ シ	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2999.0	273.0								千葉県	299-0263	JP	
249-5545263-6604614	249-5545263-6604614	2025-10-31T14:58:49+09:00	2025-11-01T02:08:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								茨城県	302-0121	JP	
249-3092175-2786213	249-3092175-2786213	2025-10-31T10:55:46+09:00	2025-11-01T02:09:12+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 充電式 USB急速充電 充電スタンド兼収納 LED残量表示付き 髭トリマー メンズ IPX8防水 丸ごと 	MB-042R25/JP	B0DSB62439	Shipped	1	JPY	9990.0	908.0								東京都	206-0031	JP	
249-3499056-7599835	249-3499056-7599835	2025-10-30T23:47:34+09:00	2025-10-31T06:14:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 2025全新改版 マットブラックボディ IPX8防水 丸ごと水洗いOK 電池式で充電不要 日本製ステン	MB-042B25/JP	B0DSB44YJZ	Shipped	1	JPY	3743.0	340.0								福岡県	816-0932	JP	
250-1817413-3276652	250-1817413-3276652	2025-10-30T21:22:18+09:00	2025-10-30T23:11:00+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								兵庫県	656-0511	JP	
250-6318789-6228615	250-6318789-6228615	2025-10-30T17:00:18+09:00	2025-10-31T06:21:18+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								神奈川県	252-0157	JP	
250-4540754-9396621	250-4540754-9396621	2025-10-30T16:43:42+09:00	2025-10-31T00:13:03+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	205.0	200.0	18.0				200.0		東京都	105-0014	JP	
503-0540046-0387830	503-0540046-0387830	2025-10-30T16:26:20+09:00	2025-10-30T19:18:17+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								東京都	174-0041	JP	
503-3079496-7875863	503-3079496-7875863	2025-10-30T14:36:11+09:00	2025-10-31T02:27:27+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								宮城県	989-2382	JP	
250-8791344-3252651	250-8791344-3252651	2025-10-30T09:09:30+09:00	2025-10-30T18:24:16+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								福岡県	810-0004	JP	
249-2179571-5590225	249-2179571-5590225	2025-10-30T08:56:29+09:00	2025-10-30T22:24:08+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー IPX8防水で丸ごと水洗いOK 電池式で充電不要 日本製刃とマブチモーター搭載の髭トリマー 0.5	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								福岡県	820-0116	JP	
