amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-5464803-7899068	249-5464803-7899068	2023-03-31T22:16:04+09:00	2023-04-01T00:36:44+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								愛知県	450-0003	JP	
250-3878366-2446249	250-3878366-2446249	2023-03-31T20:37:15+09:00	2023-04-01T01:48:44+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 男性用 メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー  	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	3999.0	364.0								Kanagawa-ken	239-0801	JP	
503-6058313-3958210	503-6058313-3958210	2023-03-31T20:12:22+09:00	2023-04-01T11:36:18+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								神奈川県	231-0007	JP	
249-4810122-4402255	249-4810122-4402255	2023-03-31T18:28:28+09:00	2023-03-31T22:05:36+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								岡山県	716-1433	JP	
250-1533172-9003063	250-1533172-9003063	2023-03-31T17:58:37+09:00	2023-04-01T00:12:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ４In１メンズシェーバーセット / 360度洗浄設計の鼻毛カッター 耳毛 鼻毛カッター もみあげシ	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	6999.0	636.0								神奈川県	232-0032	JP	
250-4756146-7871048	250-4756146-7871048	2023-03-31T17:58:17+09:00	2023-03-31T23:04:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ４In１メンズシェーバーセット / 360度洗浄設計の鼻毛カッター 耳毛 鼻毛カッター もみあげシ	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	6999.0	636.0								愛媛県	790-0833	JP	
503-4969147-5774268	503-4969147-5774268	2023-03-31T16:52:10+09:00	2023-03-31T23:08:20+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								京都府	629-3121	JP	
249-9829181-1999065	249-9829181-1999065	2023-03-31T13:00:22+09:00	2023-04-01T14:56:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2749.0	250.0								福岡県	810-0055	JP	
503-9715075-9510222	503-9715075-9510222	2023-03-31T12:45:50+09:00	2023-03-31T19:46:19+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 男性用 メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー  	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	3999.0	364.0								兵庫県	651-0079	JP	
250-5944747-3403805	250-5944747-3403805	2023-03-31T11:22:35+09:00	2023-04-01T11:38:41+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								東京都	112-0002	JP	
249-8525391-4963814	249-8525391-4963814	2023-03-31T10:19:44+09:00	2023-03-31T17:17:29+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2749.0	250.0								神奈川県	216-0022	JP	
503-4961984-7331017	503-4961984-7331017	2023-03-31T08:14:20+09:00	2023-03-31T12:17:52+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								愛知県	444-0951	JP	
503-4132788-2038249	503-4132788-2038249	2023-03-31T07:31:05+09:00	2023-03-31T18:17:43+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2749.0	250.0								埼玉県	369-0306	JP	
250-3126886-2240644	250-3126886-2240644	2023-03-30T23:44:52+09:00	2023-03-31T17:42:57+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 鼻毛・耳毛カッター 電動式カッター はな・みみげカッター 鼻毛シェーバー ノーズトリマー	MB-041/FBA	B07CYZP82Q	Shipped	1	JPY	2749.0	250.0								大阪府	581-0843	JP	
503-8673555-5196621	503-8673555-5196621	2023-03-30T23:24:59+09:00	2023-03-31T06:28:25+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER(アーバナー) ペン型眉毛シェーバー レディース 眉毛カッター フェイスシェーバー 眉毛 産毛 うぶ毛 まゆ 	MB-052	B08RBRSW72	Shipped	1	JPY	3060.0	278.0	410.0	37.0				410.0		岡山県	718-0015	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-9039654-9947811	250-9039654-9947811	2023-03-30T21:03:42+09:00	2023-03-30T23:35:53+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペン型眉毛シェーバー レディース 眉毛カッター フェイスシェーバー 眉毛 産毛 うぶ毛 まゆ 	MB-052	B08RBRSW72	Shipped	1	JPY	3060.0	278.0								千葉県	289-1133	JP	
250-6926241-3163044	250-6926241-3163044	2023-03-30T20:36:31+09:00	2023-03-31T17:00:17+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								東京都	157-0062	JP	
503-4748611-7831808	503-4748611-7831808	2023-03-30T19:26:26+09:00	2023-03-30T23:06:47+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2749.0	250.0								和歌山県	649-0435	JP	
503-2105583-3437423	503-2105583-3437423	2023-03-30T16:38:34+09:00	2023-03-31T02:13:16+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								愛知県	458-0822	JP	
249-4791459-1313425	249-4791459-1313425	2023-03-30T16:31:50+09:00	2023-03-31T10:36:37+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット スリッカーブラシ 小型犬 毛取り 猫 ブラシ ワンプッシュで抜け毛除去 犬 猫用 セル 	CT-32/FBA	B07SGC4979	Shipped	1	JPY	2749.0	250.0								香川県	760-0080	JP	
503-5853435-7698255	503-5853435-7698255	2023-03-30T16:17:15+09:00	2023-03-31T00:31:55+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER(アーバナー) ペット用 電動犬爪トリマー usb充電式 犬ネイルトリマー 犬の電動爪やすり 犬専用 スピード 	MB-011/FBA	B083BL3GBV	Shipped	1	JPY	3739.0	340.0	205.0	19.0				205.0		埼玉県	366-0821	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-3186219-9263032	249-3186219-9263032	2023-03-30T12:52:18+09:00	2023-03-30T18:31:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								東京都	108-0074	JP	
250-6170549-1178215	250-6170549-1178215	2023-03-30T12:50:54+09:00	2023-03-30T17:22:19+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー ペット用爪切り 初心者 犬 爪切り 犬 猫 爪切り 猫 ペット 爪切り 鳥 爪切り 犬 つめきり 小型 	CT-20/FBA	B07SHFY8BL	Shipped	1	JPY	2529.0	230.0								東京都	158-0083	JP	
250-6305069-7032622	250-6305069-7032622	2023-03-30T10:51:20+09:00	2023-03-30T14:58:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								大阪府	573-0055	JP	
250-4258065-2190208	250-4258065-2190208	2023-03-30T08:16:28+09:00	2023-03-30T17:22:57+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペン型眉毛シェーバー レディース 眉毛カッター フェイスシェーバー 眉毛 産毛 うぶ毛 まゆ 	MB-052	B08RBRSW72	Shipped	1	JPY	3060.0	278.0								福岡県	811-1355	JP	
250-4847453-0936602	250-4847453-0936602	2023-03-30T08:06:44+09:00	2023-03-30T14:59:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 男性用 メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー  	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	3999.0	364.0								大阪府	573-1164	JP	
